name,date,time,location,category,Free,description
Mike Salazar and Jose Luis Zagar,"September  7, 2024",8:00 PM,"125 W Mills Ave, El Paso, TX 79901",Comedy,Not Free,n/a
Yoga + Wine in the Vineyard,"September  7, 2024",11:00 AM - 12:00 PM,"7315 Canutillo-La Union Rd, Canutillo, TX 79835",Live Music - Small Venue,Not Free,Register to secure your spot and you’ll enjoy:A 1-hour yoga session led by certified instructor Lindley Folkerson in Zin Valle’s beautiful vineyard.Your choice of a glass of wine from Z…
Bully Empire,"September  7, 2024",11:00 AM,"1 Civic Center Plaza, El Paso, TX 79901",Community,Not Free,"Right in the heart of the city, in El Paso, Texas. Bully Empire will be taking over the Downtown Convention Center September 7th, 2024!"
Sourdough Bread Class Experience,"September  7, 2024",6:00 PM -  8:00 PM,"910 E Redd Rd Ste. H, El Paso, TX 79912",Community,Not Free,Discover the magic of sourdough breadmaking as we walk through all 4 stages of bread together!You’ll leave class with two half loaves in stages 2 and 3 to bake at home.With the right tools …
Art at 81,"September  8, 2024",2:00 PM -  5:00 PM,"1211 Montana Ave. El Paso, TX   79902",Exhibitions,Free,"Spend an afternoon with fine art and music during the opening reception for El Paso Hall of Fame artist Alberto Escamilla.   Enjoy the beautiful music by Esequiel (Zeke) Meza Jr., pianist and Leona…"
VIP Wine Tasting Experience,"September  8, 2024",2:00 PM -  2:30 PM,"7315 Canutillo-La Union Rd, Canutillo, TX 79835",Live Music - Small Venue,Not Free,"Join Zin Valle Vineyards owner Ryan Poulos in the beautiful Barrel Room for an exclusive tasting featuring generous pours of 4 pre-selected wines from both Zin Valle and our winery in Tuscany, Fatt…"
Jelly Roll /w Warren Zeiders & Alexandra Kay - The Beautifully Broken Tour,"September  9, 2024",,"151 Glory Rd, El Paso, TX 79902",Concerts,Not Free,"Country singer Jelly Roll /w special guests Warren Zeiders & Alexandra Kay will perform live at Don Haskins Center on Sep. 9, 2024. Tickets are on sale NOW - Use special code 327RK20 to get %20 off!"
Charley Crockett,"September 10, 2024",8:00 PM,"125 W Mills Ave, El Paso, TX 79901",For All,Not Free,n/a
Renee Cossman,"September 11, 2024",9:30 AM -  1:00 PM,"5200 Fred Wilson Avenue, El Paso, TX 79906",For All,Free,Join thousands of volunteers as we clean headstones and beautify VA National Cemeteries across the nation to honor and remember those who served our country. This is a great service opportunity for…
Rio Grande Area Agency on Aging,"September 11, 2024",9:00 AM -  2:00 PM,"One Civic Center Plaza, El Paso, Tx. 79901",Community,Not Free,"The Rio Grande Area Agency on Aging announces its 23rd annual Aging to Perfection Expo. 
The focus of our Expo is to increase community awareness of available resources for older adults and their …"
Carlos Ballarta Live!,"September 13, 2024",,"675 Circle Dr, El Paso, TX 79902",Comedy,Not Free,Comedian Carlos Ballarta will perform live at UTEP Magoffin Auditorium on Sep. 13 at 7:00pm.
Wicked Wine Run,"September 14, 2024",2:00 PM -  7:00 PM,4201 S. Hwy 28 Anthony NM 88021,Annual Events,Not Free,"At Wicked Wine Run, we invite you to run, walk, skip, or dance through some of the most scenic venues and vineyards across the country. Choose between a 1K or 5K distance or do both if you share ou…"
WVFD Angel Fund,"September 14, 2024",9:00 AM -  6:00 PM,"510 Vinton Rd, Vinton, TX 79821",Community,Free,The commitment of every public servant has traditionally been to aid individuals during their most vulnerable moments and in times of emergency. This guiding principle largely defines the mission a…
Vivamos México! Official Grito Celebration,"September 14, 2024",5:00 PM - 12:00 AM,"1 Civic Center Plaza, El Paso, TX 79901",Annual Events,Not Free,"Enjoy an evening in downtown El Paso to celebrate Mexico’s Independence Day with lively music, delicious food, entertainment, kids rides, giveaways and more!Free to attend!Festival: 5PM-12AM"
VIP Wine Tasting Experience,"September 14, 2024",2:00 PM -  2:30 PM,"7315 Canutillo-La Union Rd, Canutillo, TX 79835",Live Music - Small Venue,Not Free,"Join Zin Valle Vineyards owner Ryan Poulos in the beautiful Barrel Room for an exclusive tasting featuring generous pours of 4 pre-selected wines from both Zin Valle and our winery in Tuscany, Fatt…"
El Paso Ballet Theatre Presents: Andares,"September 14, 2024",3:30 PM,"125 W Mills Ave, El Paso, TX 79901",Dance,Not Free,n/a
Billy The Kid Breakout Show,"September 15, 2024",1:00 PM,"1551 Main St, San Elizario, TX 79849",Community,Free,The “Pistoleros De San Elizario” present two monthly reenactment shows in front of the Old El Paso County Jail in the San Elizario Historic District. The shows are during the monthly Mission Trail …
Austin Jimmy Murphy Combo,"September 15, 2024",3:00 PM -  7:00 PM,"201 S. El Paso St, El Paso, TX 79901",Live Music - Small Venue,Not Free,"Award-winning singer/songwriter Austin Jimmy Murphy is joined by Curt Bushaw on the friendly bass, Albert Vallejo and Gabe Gonzales on the skins performing original blues, jazz, swing, country, and…"
Ray LaMontagne,"September 17, 2024",7:00 PM,"1 Civic Center Plaza, El Paso, TX 79901",Concerts,Not Free,n/a
Ray LaMontagne & The Secret Sisters Live In Concert,"September 17, 2024",,"1 Civic Center Plaza, El Paso, TX 79901",Concerts,Not Free,Ray LaMontagne /w special guests The Secret Sisters will perform live at Abraham Chavez Theatre on Sep. 17 at 7:00pm.
Candlelight: Tribute to Luis Miguel on Strings,"September 19, 2024",6:30 PM -  7:45 PM,"St Rogers Depot 420 N Campbell St El Paso, Texas 79902",Live Music - Small Venue,Not Free,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like never seen before in El Paso. Get your tickets now to discover the music of Luis Mig…"
